what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875686609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875692740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875693520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875694721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875734704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875751489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875751989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875764937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875773704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875782362
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875789647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875789725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445875800583
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875800614
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875802486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875802564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445875805076
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1445875805122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875814982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875820473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875821034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875824607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875826338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445875826728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445875834794
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445875834981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445875835043
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1445875835137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445875837243
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1445875838491
