what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445877682082
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1445877684406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877700942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877703173
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445877705201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1445877705248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445877718820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877719179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1445877719194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445877719460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877725856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877732954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877733047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877734155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877735590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877736588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877737727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877761065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877761954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877762516
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445877783435
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445877785916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445877788677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1445877788692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877818894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877819456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877843417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877849392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877849595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877850547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877851592
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445877851951
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1445877852668
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1445877852668
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1445877852684
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1445877852684
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1445877852684
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1445877852684
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1445877852684
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1445877852684
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1445877852684
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1445877852684
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1445877852684
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1445877852684
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1445877852684
