what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444209982389
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1444209982389
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1444209982389
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1444209982389
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1444209982389
os,sysinfo,,,"win32",1444209982404
arch,sysinfo,,,"x86_64",1444209982404
ws,sysinfo,,,"win32",1444209982404
locale,sysinfo,,,"zh_CN",1444209982404
processors,sysinfo,,,"4",1444209982404
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444209982404
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1444209982404
java.specification.name,sysinfo,,,"Java Platform API Specification",1444209982404
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444209982404
java.specification.version,sysinfo,,,"1.8",1444209982404
java.vendor,sysinfo,,,"Oracle Corporation",1444209982404
java.version,sysinfo,,,"1.8.0_05",1444209982404
java.vm.info,sysinfo,,,"mixed mode",1444209982404
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1444209982404
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444209982404
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444209982404
java.vm.specification.version,sysinfo,,,"1.8",1444209982404
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444209982404
java.vm.version,sysinfo,,,"25.5-b02",1444209982404
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1444209982420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444209982435
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1444209982498
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1444209982654
